train,val,test
02/19/2022,01/01/2020,01/03/2025
02/18/2024,01/19/2020,01/04/2025
02/06/2021,01/20/2020,01/05/2025
02/20/2021,01/13/2016,01/18/2016
02/10/2016,01/30/2019,01/27/2017
02/11/2016,01/31/2019,01/28/2017
02/12/2016,01/27/2016,01/29/2017
02/14/2025,11/10/2018,11/02/2020
02/28/2020,11/28/2023,11/20/2017
02/29/2020,11/29/2023,11/17/2022
02/01/2023,11/20/2016,11/18/2022
02/16/2017,11/13/2022,11/19/2022
02/14/2019,11/28/2018,11/20/2022
02/17/2025,03/19/2023,
02/25/2019,,
12/10/2017,,
12/14/2016,,
12/15/2016,,
12/07/2021,,
12/30/2017,,
12/08/2016,,
12/09/2016,,
12/10/2016,,
12/06/2024,,
12/01/2022,,
12/06/2017,,
12/07/2017,,
12/08/2017,,
12/12/2024,,
12/13/2024,,
12/30/2016,,
12/24/2022,,
12/25/2022,,
12/26/2022,,
12/27/2022,,
12/26/2017,,
12/17/2022,,
12/18/2022,,
12/18/2019,,
12/26/2020,,
12/13/2017,,
12/19/2015,,
11/29/2024,,
11/30/2024,,
12/01/2024,,
12/02/2024,,
12/16/2017,,
01/22/2021,,
01/14/2024,,
01/15/2024,,
01/20/2025,,
01/21/2025,,
01/17/2024,,
01/18/2024,,
01/06/2022,,
01/07/2022,,
01/14/2025,,
01/15/2025,,
01/10/2022,,
01/11/2016,,
01/10/2019,,
01/02/2018,,
01/01/2016,,
01/02/2016,,
01/03/2016,,
01/04/2016,,
01/24/2025,,
01/25/2019,,
01/26/2019,,
01/05/2017,,
01/06/2017,,
01/07/2017,,
01/08/2017,,
01/17/2021,,
01/18/2021,,
01/19/2021,,
10/18/2015,,
03/05/2019,,
03/06/2019,,
03/07/2019,,
